Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Crown Agencies,"$102,028.81","$1,011.74",Alcohol & Gaming Commission,Sr. Mgr. Business Planning & Revenue,2001,5a398d4b2473fd380dae8aa9758a96ef8460a936e3887f32320e9227c26d9602
Crown Agencies,"$109,490.81","$1,011.74",Alcohol & Gaming Commission,Sr. Mgr. Finance and Administration,2001,a350b4413cfaf972f21988772977d91656851ee927382c070d3652c7bda4390d
Crown Agencies,"$138,533.82","$9,131.99",Alcohol & Gaming Commission,"Deputy Director, Corporate Services",2001,6c2e845fd047595059f03207d54d55d454985e41bf6977aecc5d9805907ade9f
Crown Agencies,"$149,853.34","$1,944.15",Alcohol & Gaming Commission,"Director, Licensing & Registration",2001,ea45e2867d4dc2661e95fc35c586bdc02faafaad2858bf08abcf260767d4e81b
Crown Agencies,"$121,800.96","$1,303.98",Alcohol & Gaming Commission,Sr. Legal Counsel,2001,92a0cbd99a7a6d89d9daa5efd6012c292ad5c5d6e944565afc52530a196783a1
Crown Agencies,"$114,616.36",$255.88,Assessment Review Board,Chairman,2001,b082b97e83a9cc38d2e04bffdf5bd377c9beb9efdd8a1d1d09b7bc2d545f2290
Crown Agencies,"$152,235.42",$312.78,Assessment Review Board,Counsel,2001,679bff365d2cbad139f044f2ac9dc33868af3531406462ffd3729884b174e56d
Crown Agencies,"$111,073.44",$274.26,Board of Inquiry,"Chair, BOI",2001,7bdc56b3358c3b6e4f31daa4d7d5681433412d2bda31e3106f12754d7196ae1f
Crown Agencies,"$131,562.08",$232.82,Cancer Care Ontario,Radiation Oncologist,2001,1da3be5bb376fd35c73f36ea43b85f3419f44ba6ff241e1b2922f8017f81741b
Crown Agencies,"$193,566.63",$223.20,Cancer Care Ontario,CEO / Medical Oncologist,2001,9555a472bd08432db64181ac3734935d9109e56aa1a4527f8ddb28ffe404da7f
Crown Agencies,"$201,046.86",$429.74,Cancer Care Ontario,Radiation Oncologist,2001,12ede3412996c24ceff0d052e75659614b97fa5e36d4100f67cab984827a15cf
Crown Agencies,"$188,483.56",$432.38,Cancer Care Ontario,Radiation Oncologist,2001,5682b45ee09a7d82d66edf95c66da1e910c3e506587af6aa7cc5fd47325255b4
Crown Agencies,"$201,901.86",$399.12,Cancer Care Ontario,Medical Oncologist,2001,e71dcb3f2754a511229521c83d7104d897379055e8508a343748005955fc4249
Crown Agencies,"$268,974.66",$431.42,Cancer Care Ontario,Radiation Oncologist,2001,1525d09c65c93ea2db38cc5682fe51f5a2ee1761d832415cf6c2162219908376
Crown Agencies,"$104,211.76",$258.68,Cancer Care Ontario,Medical Physicist,2001,45afd611a56ce3bb0573dfb6fd1f8d85d7d7be2d6b25d8488ef07d71952c3f0b
